Id;Hash;Text_Cleaned
86;16AA34634DBDDF6FFE35207CFFDB3C1025E051AC26627EBA12D80A5D5684F163;Напишите, пожалуйста, Ваш запрос на изменение ФИО нашим коллегам из технической поддержки , они внесут все необходимые правки.
48;FC82009BC98026E87334FB696B8A78420B0E1F667B6D0F1B6BDB7E1EEBBE2147;Да, новые направления планируются к запуску, в том числе такие как бизнес-аналитика, архитектура программного обеспечения. Данный вопрос сейчас находится в проработке, подробности мы сообщим весной 2023 г., тогда же начнётся новый набор на 2023/24 учебный год. О начале набора обязательно объявим на нашем официальном Telegram-канале: @dc_bmstu , подписывайтесь и следите за новостями.
49;019C01DF92BF6AC13E3A3F8D02B1D6576EE7757FB832BFCDEEA8700E9086B089;Обучение начнется осенью 2023 года.
50;686D29A97A946ABCD20885A94AC072EE50A974B3EBEFB389FEF452157695AA76;"Для обучения на Цифровой кафедре каждый студент обязан пройти ассесмент в три этапа (входной, промежуточный, итоговый). Ассесмент проводится на платформе Университета Иннополиса. 🛑Явка на ассесмент обязательная. НЕЯВКА = ОТЧИСЛЕНИЕ; 🛑Результаты входного тестирования не влияют на зачисление/отчисление на ЦК; 🛑Цель данного мероприятия - зафиксировать знания студента перед началом обучения. Поэтому полагайтесь на себя, ни в коем случае не пытайтесь улучшить свои результаты с использованием сторонней помощи или Google/Yandex; 🛑🛑Тестирование возможно пройти исключительно на ПК, мобильная версия не предусмотрена платформой Иннополиса."
51;803463A7E9C028709C40841BD7153A35C03ED801612DCA1ED4E07F7E2612CCBC;"Отчисление по собственному желанию/неуспеваемости на ""Цифровой Кафедре"" никоим образом не влияет на Ваше основное обучение в МГТУ им. Н.Э. Баумана. Лицам, не прошедшим итоговую аттестацию или получившим на итоговой аттестации неудовлетворительные результаты, а также лицам, освоившим часть Программы и (или) отчисленным из Университета, выдается справка об обучении или о периоде обучения по образцу, самостоятельно устанавливаемому Университетом."
52;DD8FA1D8FE9AEADF87A4BBB4A41000AF8C4BB6D4CB4A63FE8C73FE59A6865482;"Причиной для отчисления будет одно из условий: 1. Студент не начал обучение на курсе ЦК (нет ни одной изученной теории); 2. Студент не прошел ассесмент Иннополиса: а) не прошёл ассесмент вообще (не приступил, пропустил сроки, забыл, опоздал); б) не нажал в конце тестирования ""Завершить"" - тогда ответы не засчитываются, в ЛК будет висеть статус ""Старт"", который после официального завершения ассесмента сменится на ""Вы не прошли тестирование""."
53;8E29D5B63FB1E6A7B992A540A385BADD973C3F12DD84A9849108299BEDB921D3;"Летом у нас будет новый набор на 2023/24 учебный год, при этом список программ будет расширен. Сам учебный процесс начнётся осенью 2023 г. и продлится до июля 2024 г., Вы должны быть действующим студентом МГТУ им. Н. Э. Баумана - это обязательное условие для обучения на ""Цифровой Кафедре"". Также будет проводиться профориентация для студентов, на которой Вам подробно расскажут о направлениях ""Цифровой Кафедры"", какие навыки Вы приобретёте в процессе обучения, будет проводиться анкетирование. О начале набора обязательно объявим на нашем официальном Telegram-канале: @dc_bmstu , подписывайтесь и следите за новостями. 💡Что касается советов на будущее: 🔍 изучите предлагаемые программы заранее, чтобы выбрать для себя один и записаться в первых числах начала набора; ‼️ при регистрации на bmstu.online будьте предельно внимательны при вводе своих данных, чтобы избежать ошибок при дальнейшей модерации; 📩 отслеживайте статусы заявок в ЛК на bmstu.online и проверяйте почту на наличие официальных писем от (проверяйте папки ""Спам"", ""Промоакции"" и др.), чтобы не пропустить этап подписания заявления на зачисление на курс (это обязательный шаг для поступления!); 📝 пройдите вступительное тестирование (входной ассесмент) в установленные сроки с ПК. Не забудьте нажать в конце теста на кнопку ""Завершить тестирование"", чтобы Ваши ответы засчитались. 📆 При своевременной подаче заявки на программу и дальнейшем соблюдении сроков подписания заявления и прохождения тестирования, Вы повысите шансы получить себе место на Цифровой Кафедре. Ждём Вас на следующем потоке! 😊"
54;C9D4046407AA319CEE02B86A12E693B2F5A99FFEADC3E7CE04D423E879FFABAD;"💡Что касается советов на будущее: 🔍 изучите предлагаемые программы заранее, чтобы выбрать для себя один и записаться в первых числах начала набора; ‼️ при регистрации на bmstu.online будьте предельно внимательны при вводе своих данных, чтобы избежать ошибок при дальнейшей модерации; 📩 отслеживайте статусы заявок в ЛК на bmstu.online и проверяйте почту на наличие официальных писем от (проверяйте папки ""Спам"", ""Промоакции"" и др.), чтобы не пропустить этап подписания заявления на зачисление на курс (это обязательный шаг для поступления!); 📝 пройдите вступительное тестирование (входной ассесмент) в установленные сроки с ПК. Не забудьте нажать в конце теста на кнопку ""Завершить тестирование"", чтобы Ваши ответы засчитались. 📆 При своевременной подаче заявки на программу и дальнейшем соблюдении сроков подписания заявления и прохождения тестирования, Вы повысите шансы получить себе место на Цифровой Кафедре. Ждём Вас на следующем потоке! 😊"
55;81947CA04A78065DB27BF02EF926B35FB5D6E7500C990A03204167416756CAB1;Нет. Для обучения на Цифровой кафедре необходимо в обязательном порядке прохождение всех этапов ассесмента в Университете Иннополис.
56;28154C05A82BE231B20DE8FA89F553A87D34F475947492F02AF5217012FECB82;"Обращаем Ваше внимание, что МГТУ имени Н.Э. Баумана – не единственный вуз, участвующий в проекте «Цифровые кафедры», поэтому платформа Университета Иннополис для прохождения ассесмента может работать нестабильно из-за большого количества студентов (в том числе из других университетов). Технические специалисты со стороны Университета Иннополис делают всё возможное, чтобы такой проблемы на было. Если Вы столкнулись с нестабильной работой сайта - повторите попытку зайти в свой профиль позже или обратитесь в техническую поддержку Иннополиса: 📩 электронная почта: ; 💻 в чате на платформе Университета Иннополис ☎️ по круглосуточному телефону: 8-800-550-31-71 (звонок по России бесплатный)."
57;86B31DEDA653D3F48FBC354D2FB18BB55F7C1AB8D3F236DEC4FBF3D765D43CE2;"Оперативная связь с технической поддержкой Иннополиса: 📩 электронная почта: ; 💻 в чате на платформе Университета Иннополис ☎️ по круглосуточному телефону: 8-800-550-31-71 (звонок по России бесплатный)."
58;E3C45A2846B76D1B8755D97E336F53275F6BA425216B9CA83080898F7AE5FB38;"В этом случае Вам необходимо перейти в свой профиль и нажать ""Изменить данные"". Около поля с адресом почты есть кнопка ""Подтвердить e-mail"". Кликнув по ней, появится окошко, куда нужно будет ввести код, отправленный на Вашу почту. Если во входящих сообщениях на почте его не будет, рекомендуем проверить папку ""Спам"" или папку рассылок."
59;E1670C7E13C5D87C50901451AE3125C0A60866AC3BAA2D3100145263DFC774C7;Письма на почту могли ещё не прийти. Но Вы можете зайти на сайт НейроSPOC (с компьютера), нажать на кружочек со своим профилем и сбоку у Вас отобразится курс, на который Вам одобрена заявка. Далее нажимаете на этот курс - внизу будет написана вся информация, прикреплена инструкция и ссылка на прохождение теста.
60;11E82687BF4DC27415D14394373A65DB99F3552E92FA6D229D3BC5056CDA905C;К сожалению, нет, мобильная версия на платформе Иннополиса не предусмотрена. Для прохождения тестирования воспользуйтесь персональным компьютером.
61;B7F9946E4D6C195C02094A435C977BE08DAD3E711AB4E8C5547FA396821BA674;Вы использовали ссылку из письма/со страницы программы, на которую Вам была одобрена заявка? Если да, то напишите нам
62;4FF7EBEAC5C69AB12C1DFBAC45215A2B2ABE7144B48C445F35187564CAA2B63D;Платформа устроена таким образом, что доступ к ассесменту у студентов происходит только после заполнения всех обязательных полей на платформе и после перехода по ссылке-приглашению, которая пришла Вам на почту вместе с инструкцией. Внимательно ознакомьтесь с инструкцией к прохождению входного тестирования, а также проверьте корректность заполнения всех полей (например, ФИО должны быть написаны с большой буквы).
63;A78F30C588848FE7FFA94A2B2F57E34391FD8B3B3407007D6BD903CE638620CC;"Вы можете перейти по ссылке на тестирование через страницу программы на платформе НейроSPOC, на которую Вам была одобрена заявка. Также рекомендуем проверить свой почтовый ящик на наличие писем от В том случае, если нигде (в том числе в """"Спаме"""") писем от этого адресата нет - напишите и мы уточним, верная ли почта указана."
64;30BB8382887899EAB55E7F0B3653B1F035317EC8804C0906CBBB6B6EE43E82B3;"Тестирование будет засчитано только после нажатия кнопки ""Завершить тестирование"". В противном случае Ваши ответы не сохраняются и не идут в дальнейшую обработку. Вам необходимо заново пройти тест, по окончании которого в обязательном порядке нажать ""Завершить"". Только после этого ассесмент считается пройденным и Ваши ответы отправляются на проверку."
72;70990E209FC87A4449D6B0306403A71324E7F2FA0736D346DE56ED833EF88912;"С 19 июня до 2 июля. 🛑Проверяйте почту и наш официальный канал @dc_bmstu, чтобы не пропустить важные новости; 🛑Явка на тестирование обязательная. НЕЯВКА = ОТЧИСЛЕНИЕ; 🛑Результаты тестирования не влияют на Ваше дальнейшее обучение на ""Цифровой Кафедре""; 🛑Цель данного мероприятия - определить уровень усвоения Вами материала курса на текущий момент, поэтому полагайтесь на себя, ни в коем случае не пытайтесь улучшить свои результаты с использованием сторонней помощи или Google/Yandex; 🛑🛑Тестирование возможно пройти исключительно на ПК, мобильная версия не предусмотрена платформой Иннополиса."
73;C052233E3B0F7D69670B01AE09232DEF1DC4A0DABC859BF7DE8631B445F56CE9;К сожалению, в случае, если Вы по какой-то причине не смогли его пройти, мы вынуждены Вас отчислить с Цифровой Кафедры, т.к. данное тестирование является обязательным условием для обучения на ЦК.
65;204842E279CA9167C3D71EC24D8DF60C7A7EC9EFE5C2F17FF5689F03C23DBDB9;К сожалению, то, что у Вас в личном кабинете не отображается программа означает, что заявка была отклонена. Вероятно, после подтверждения заявки Вы не подписали Заявление на странице программы. После того, как все заявки были рассмотрены, мы должны были собрать согласия со студентов и для этой цели делали рассылку на почты студентов с адреса о необходимости подписать заявление о зачислении (так как без согласия со стороны студента мы не можем включить его в итоговые списки), а также дублировали информацию на нашем официальном канале в Telegram: @dc_bmstu . К сожалению, мы были вынуждены отклонить заявки без подписанных заявлений. При этом доступ к тестированию со стороны Иннополиса не ограничен. Его может пройти любой, кто зарегистрируется на сайте. Регистрация проходит без проверки наличия студента в приказе вуза на зачисление. Мы можем Вам предложить подать заявку весной 2023 г., будет новый набор на 2023/24 учебный год, при этом список курсов будет расширен. О начале набора обязательно объявим на нашем официальном Telegram-канале:
66;C6E50CD3B3469C446F6BC647D1CC6C11C6A6E6AEEE1B358AF250C0F17E8310FE;К сожалению, в случае, если Вы по какой-то причине не смогли его пройти, мы вынуждены Вас отчислить с Цифровой Кафедры, т.к. данное тестирование является обязательным условием для обучения на ЦК. Мы можем Вам предложить подать заявку весной 2023 г., будет новый набор на 2023/24 учебный год, при этом список курсов будет расширен. О начале набора обязательно объявим на нашем официальном Telegram-канале: . Подписывайтесь и следите за новостями. Ждём Вас на следующем потоке!
67;BBFC06E02FAB16B3908C8D3F7BFEDC076E021C640C52DF73D680D12AD2BE1F7C;"Информация о том, что после зачисления на курс необходимо будет пройти входное тестирование, была указана изначально на официальном сайте Цифровой Кафедры: (раздел """"Как проходит обучение?""""). Помимо этого данная информация дублировалась на почту (привязанную к bmstu.online), в личный кабинет и в официальной Telegram-группе ЦК: . При обнаружении отсутствия письма со ссылкой на ассесмент, Вы обращались в Поддержку в дни его проведения? Официально входной ассесмент завершён, дополнительное продление не предусмотрено. К сожалению, в случае, если Вы по какой-то причине не смогли его пройти, мы вынуждены Вас отчислить с Цифровой Кафедры, т.к. данное тестирование является обязательным условием для обучения на ЦК. В любом случае, мы со своей стороны приносим извинения: проект новый, все возможные ошибки и накладки предугадать заранее не представляется возможным. Учитывая полученный опыт приёма заявок, обратной связи и взаимной работы с Иннополисом, мы готовим улучшения как по процедурам записи, поддержки, так и по учебному процессу. На текущий момент мы можем предложить Вам подать заявку весной 2023 г. на новый 2023/24 учебный год, при этом список программ будет расширен. О начале набора обязательно объявим на нашем официальном Telegram-канале:"
68;79C0A9EBB00C1BA34E9EF6C1A5C90B676C8C7452250E532FAF350F07EDE73D37;"Причиной для отчисления будет одно из условий: 1. Студент не начал обучение на курсе ЦК (нет ни одной изученной теории); 2. Студент не прошёл ассесмент Иннополиса: а) не прошёл ассесмент вообще (не приступил, пропустил сроки, забыл, опоздал); б) не нажал в конце тестирования ""Завершить"" - тогда ответы не засчитываются, в ЛК будет висеть статус ""Старт"", который после официального завершения ассесмента сменится на ""Вы не прошли тестирование"". Результаты тестирования не влияют на Ваше дальнейшее обучение на ""Цифровой Кафедре"". Цель данного мероприятия - оценить уровень усвоения Вами материала курса на текущий момент, поэтому полагайтесь на себя, ни в коем случае не пытайтесь улучшить свои результаты с использованием сторонней помощи или Google/Yandex."
69;FEB14A894E2A72142CAADBBCDC50C293C22C2EEA22022F429320896420C36E9A;"При возникновении проблем с загрузкой фотографии или в целом по вопросам работы на платформе Иннополиса, обратитесь, пожалуйста, в техническую поддержку Иннополиса по будням с 9:00 до 18:00 (по Мск): ☎️ телефон: 8-800-550-31-71 (по России звонок бесплатный); 📩 электронная почта: ; 💻 Чат на платформе """"Служба поддержки"""" assessment.unionepro.ru"
70;43B2B36ACA39F0D5EF7406D9EFAFA634336BBBC26B741AEFB68867818CF8FE9F;"В Вашем личном кабинете на сайте Иннополиса во вкладке ""Курсы"" справа снизу свёрнутое окно службы поддержки."
71;F3E75D41388EB49FDB737FD189650BC49B08EED6D5DA11784F747AC39FC6F6DA;"Мы будем вынуждены Вас отчислить с Цифровой кафедры и Вы не сможете получить диплом. Просьба серьезно относится к данному мероприятию и пройти ассесмент (напоминаем, что обязательно после ответов на вопросы нажать кнопку ""завершить тестирование"")"
84;5F2754157A0683AAACE13D9F914ADBC72109205E7562D455BF0538AF212310DA;Да, можно. Такая функция есть.
85;83E152BF1FC4B03435B7C6F4E21D22B11F49915DD228E03D66D702AE171C7A71;Попробуйте в работе разные браузеры, иногда скорость потока меняется в зависимости от используемой программы воспроизведения. Также рекомендуем проверить скорость Интернет-канала и VPN в случае использования.
74;1A333F7EA0EFF2D6CB7FAB9BA51CEE4E94591181471D3EFAB20699E10977E4E4;"К сожалению, в настоящий момент поменять программу мы не сможем по причине того, что приказ МГТУ на зачисление студентов был подписан ещё 20 сентября и подан для регистрации на платформе Иннополиса. Таким образом все студенты, которые своевременно подписали заявление-согласие и успешно прошли входной ассесмент, были закреплены каждый за своим курсом, соответственно заявке. Помимо этого количество желающих обучаться на наших программах значительно превзошло количество возможных мест. Если Вы студент-магистр последнего года обучения: Мы советуем Вам не отказываться от программы и всё-таки пройти обучение. Преподаватели у нас замечательные, активные и горят своей профессией. Обещаем, что программа будет интересной и познавательной! Если Вы студент выпускного курса (бакалавр/специалист): Вы планируете продолжать учёбу в магистратуре? ➕ Если да, то Вам нужно будет официально отказаться от обучения на текущем программе, мы Вас отчисляем, при этом за Вами сохраняется возможность бесплатно, за счёт средств федерального бюджета пройти обучение на ""Цифровой Кафедре"" в следующем году. ➖ Если нет, то в таком случае, советуем Вам не отказываться от программы и всё-таки пройти обучение."
75;CEA5DE7EB5585ECD8F062328A7E32085364A5F79CDA4AE98B72FDFF01233FF76;Да. Для этого требуется уведомить нас в @dc_bmstu_help. Сообщите нам об этом, указав причину, ФИО, программу.
